,drugname_brand,drugname_generic,claim_count,total_spending,user_count,total_spending_per_user,unit_count,unit_cost_wavg,user_count_non_lowincome,out_of_pocket_avg_non_lowincome,user_count_lowincome,out_of_pocket_avg_lowincome
0,1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",4413,95304.09,1633.0,58.361353337,522780.0,0.1822816004,833.0,35.618511405,800.0,5.880125
1,8-MOP,METHOXSALEN,14,19590.75,,,750.0,26.121,,,,
2,ABACAVIR,ABACAVIR SULFATE,59121,26923482.06,8360.0,3220.5122081,3761037.0,7.1585262416,1594.0,282.04630489,6766.0,7.7340422702
3,ABACAVIR-LAMIVUDINE-ZIDOVUDINE,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,49,78230.03,49.0,1596.5312245,3473.0,22.525202995,14.0,44.842142857,35.0,0.2271428571
4,ABELCET,AMPHOTERICIN B LIPID COMPLEX,435,582002.93,130.0,4476.9456154,56574.0,10.287462969,83.0,533.81542169,47.0,11.655744681
5,ABILIFY,ARIPIPRAZOLE,2886837,2107091535.2,396764.0,5310.692339,86150300.421,24.708042964,79066.0,502.00728202,317698.0,21.633705878
6,ABILIFY DISCMELT,ARIPIPRAZOLE,5033,5221987.76,967.0,5400.1941675,193300.0,27.019005701,74.0,493.9772973,893.0,12.986976484
7,ABILIFY MAINTENA,ARIPIPRAZOLE,14694,21278004.27,3986.0,5338.184714,14793.7,1438.4784443,90.0,471.98911111,3896.0,7.7848767967
8,ABRAXANE,PACLITAXEL PROTEIN-BOUND,557,2915287.29,161.0,18107.374472,3380.0,862.51103254,62.0,1031.5033871,99.0,3.285959596
9,ABSORICA,ISOTRETINOIN,78,76550.36,40.0,1913.759,3280.0,23.251226444,20.0,236.2765,20.0,5.51
10,ABSTRAL,FENTANYL CITRATE,136,433417.39,47.0,9221.6465957,10188.0,41.533763335,23.0,667.2473913,24.0,91.9425
11,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,7020,1207181.32,3528.0,342.17157596,1149195.0,1.0504582077,1052.0,83.884686312,2476.0,2.9626857835
12,ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,888,290935.56,574.0,506.85637631,46265.0,6.2884590943,367.0,85.810163488,207.0,8.1647342995
13,ACARBOSE,ACARBOSE,202961,13255434.71,40342.0,328.57653835,23825300.5,0.5558033774,21111.0,77.038412202,19231.0,6.8183828194
14,ACCOLATE,ZAFIRLUKAST,3011,450913.52,695.0,648.79643165,238059.5,1.8940725186,396.0,254.40651515,299.0,14.545785953
15,ACCUNEB,ALBUTEROL SULFATE,44,2050.6,23.0,89.156521739,4611.0,0.4366416851,,,,
16,ACCUPRIL,QUINAPRIL HCL,7400,1063447.06,1454.0,731.39412655,483768.0,2.1985183552,1174.0,315.27408007,280.0,31.491535714
17,ACCURETIC,QUINAPRIL/HYDROCHLOROTHIAZIDE,651,92285.54,145.0,636.452,42771.0,2.1567570648,105.0,328.594,40.0,24.49925
18,ACCUSURE,"SYRING W-NDL,DISP,INSUL,0.5 ML",26,443.76,,,2340.0,0.1897879274,,,,
19,ACCUSURE,"SYRINGE AND NEEDLE,INSULIN,1ML",16,365.13,,,1720.0,0.2125367886,,,,
20,ACEBUTOLOL HCL,ACEBUTOLOL HCL,134256,3888336.7,23942.0,162.40651157,11100546.0,0.3512396528,20531.0,55.953487409,3411.0,11.165537965
